;; -*- coding: utf-8-mcs-er -*-
M-17575 	&I-M-17575;	⿰氵咅
M-18999 	&M-18999;	⿰火舟
M-19000 	&I-M-19000;	⿰火兆
M-19001 	&I-M-19001;	⿰火式
M-19002 	&I-M-19002;	⿱任火
M-19003 	&M-19003;	
M-19004 	&I-M-19004;	⿰火圭
M-19005 	&I-M-19005;	⿰火同
M-19006 	&M-19006;	⿰火多
M-19007 	&I-M-19007;	⿵戌火
M-19008 	&I-M-19008;	⿹𢦏火
M-19009 	𤇳	
M-19010 	&M-19010;	⿰火亥
M-19011 	&M-19011;	
M-19012 	&I-M-19012;	⿰火共
M-19013 	&I-M-19013;	⿱火共
M-19014 	&I-M-19014;	⿰火各
M-19015 	&I-M-19015;	⿰火合
M-19016 	&M-19016;	
M-19017 	&I-M-19017;	⿰火虫
M-19018 	&I-M-19018;	⿰火亘
M-19019 	&I-M-19019;	⿱丞灬
M-19020 	&M-19020;	⿰火丞
M-19021 	&M-19021;	⿰火朴
M-19022 	&I-M-19022;	⿰火因
M-19023 	&M-19023;	⿰火有
M-19024 	&M-19024;	⿰火宅
M-19025 	&M-19025;	⿰火㫐
M-19026 	&M-19026;	⿱缶火
M-19027 	&I-M-19027;	⿱缶灬
M-19028 	&M-19028;	⿰火缶
M-19029 	&I-M-19029;	⿱色灬
M-19030 	&I-M-19030;	⿰火灰
M-19031 	&I-M-19031;	
M-19032 	&I-M-19032;	
M-19033 	&I-M-19033;	⿱多灬
M-19034 	&I-M-19034;	⿰火考
M-19035 	&I-M-19035;	
M-19036 	&I-M-19036;	⿰火&AJ1-05786;
M-19037 	&I-M-19037;	⿰火希
M-19038 	&M-19038;	⿰火尾
M-19039 	&M-19039;	
M-19040 	&I-M-19040;	
M-19041 	&M-19041;	⿱折火
M-19042 	&I-M-19042;	⿱折灬
M-19043 	&M-19043;	⿰火甫
M-19044 	&M-19044;	⿰火巠
M-19045 	&M-19045;	
M-19046 	&M-19046;	⿰火&HD-KS-108170;
M-19047 	&M-19047;	⿰火完
M-19048 	&M-19048;	⿰火每
M-19049 	&I-M-19049;	⿱亨灬
M-19050 	&M-19050;	⿰火汞
M-19051 	&M-19051;	⿰火役
M-19052 	&M-19052;	⿱耴火
M-19053 	&I-M-19053;	
M-19054 	&M-19054;	⿰火吞
M-19055 	&M-19055;	⿰火&AJ1-13654;
M-19056 	&M-19056;	⿰火豕
M-19057 	&M-19057;	⿸&CDP-8CCC;火
M-19058 	&M-19058;	⿰火戒
M-19059 	&I-M-19059;	⿰火夆
M-19060 	&I-M-19060;	⿱夆灬
M-19061 	&M-19061;	⿱炎土
M-19062 	&M-19062;	⿰火彤
M-19063 	㶼	⿰火矣
M-19064 	&M-19064;	⿰火谷
M-19065 	𤈫	⿰⿸尸⿱二火又
M-19066 	&M-19066;	⿱吹火
M-19067 	&M-19067;	⿱攸火
M-19068 	&I-M-19068;	⿰火赤
M-19069 	&I-M-19069;	⿱君灬
M-19070 	&M-19070;	
M-19071 	&I-M-19071;	
M-19072 	&I-M-19072;	⿰火孛
M-19073 	&I-M-19073;	⿰火肙
M-19074 	&I-M-19074;	
M-19075 	&I-M-19075;	
M-19076 	&I-M-19076;	⿱正&CDP-8DBF;
M-19077 	&I-M-19077;	⿰火旱
M-19078 	&I-M-19078;	⿱壯火
M-19079 	&C2-3670;	
M-19080 	&M-19080;	⿳火⺫又
M-19081 	&I-M-19081;	⿰火弟
M-19082 	&M-19082;	⿳⿱⺊冖夕火
M-19083 	&M-19083;	⿹𢦒火
M-19084 	&M-19084;	⿰火&CDP-8573;
M-19085 	&M-19085;	
M-19086 	&I-M-19086;	⿳⺊目火
M-19087 	&I-M-19087;	⿸厂⿳廿一火
M-19088 	&I-M-19088;	⿰火⿱⿹弓丿口
M-19089 	&M-19089;	
M-19090 	&M-19090;	
M-19091 	&M-19091;	⿰火⿱日工
M-19092 	&I-M-19092;	⿱⿲口了又灬
M-19093 	&I-M-19093;	
M-19094 	&I-M-19094;	
M-19095 	&I-M-19095;	
M-19096 	&I-M-19096;	
M-19097 	&C4-3277;	⿱⿰火火卂
M-19098 	&M-19098;	
M-19099 	&I-M-19099;	⿰火咅
M-19100 	&I-M-19100;	⿱林火
M-19101 	&I-M-19101;	⿱林灬
M-19102 	&M-19102;	⿵門火
M-19103 	&I-M-19103;	⿰火昆
M-19104 	&I-M-19104;	⿱臤火
M-19105 	&I-M-19105;	⿰火昏
M-19106 	&M-19106;	⿱火長
M-19107 	&I-M-19107;	
M-19108 	&I-M-19108;	⿰火昔
M-19109 	&I-M-19109;	⿱凹&CDP-8C40;
M-19110 	&I-M-19110;	⿳⺈𫩏&CDP-8C40;
M-19111 	&I-M-19111;	⿰火卒
M-19112 	&M-19112;	⿰火果
M-19113 	&I-M-19113;	⿱&CDP-8BBE;灬
M-19114 	&M-19114;	⿰火空
M-19115 	&M-19115;	⿱取火
M-19116 	&I-M-19116;	⿱取灬
M-19117 	&M-19117;	⿱府火
M-19118 	&M-19118;	⿰火&AJ1-01148;
M-19119 	&I-M-19119;	
M-19120 	焳	
M-19121 	&C6-4A78;	⿰火甾
M-19122 	&M-19122;	⿰火阜
M-19123 	&M-19123;	⿰火⿱&MJ007276;心
M-19124 	&M-19124;	⿰火⿱日月
M-19125 	&M-19125;	
M-19126 	&M-19126;	⿰火朋
M-19127 	&I-M-19127;	⿱⿰多刂灬
M-19128 	&I-M-19128;	⿰多灰
M-19129 	&I-M-19129;	⿰火穹
M-19130 	&I-M-19130;	⿰火奄
M-19131 	&HD-KS-215470;	
M-19132 	&I-M-19132;	⿰火易
M-19133 	&I-M-19133;	⿰火委
M-19134 	&I-M-19134;	⿱𤇾几
M-19135 	&I-M-19135;	
M-19136 	&M-19136;	⿰⿳㐅㐅火攵
M-19137 	&I-M-19137;	⿰火欣
M-19138 	&M-19138;	⿱或火
M-19139 	&I-M-19139;	⿰火卓
M-19140 	&I-M-19140;	⿱⿰⿱巛夕刂灬
M-19141 	&I-M-19141;	
M-19142 	&I-M-19142;	⿱火⿰火火
M-19143 	&M-19143;	⿰火炎
M-19144 	&M-19144;	⿰火&M-05763;
M-19145 	&M-19145;	
M-19146 	&C3-3C79;	⿰火&MJ020960;
M-19147 	&M-19147;	⿰火⿹戈天
M-19148 	&M-19148;	⿰火岡
M-19149 	&I-M-19149;	⿱&CDP-8BB5;灬
M-19150 	&M-19150;	
M-19151 	&M-19151;	⿰火卑
M-19152 	&I-M-19152;	⿱昍火
M-19153 	&I-M-19153;	⿱止炅
M-19154 	&M-19154;	
M-19155 	&M-19155;	
M-19156 	&M-19156;	
M-19157 	&M-19157;	
M-19158 	&I-M-19158;	⿰火昇
M-19159 	&I-M-19159;	
M-19160 	&M-19160;	
M-19161 	&I-M-19161;	⿱亞火
M-19162 	&I-M-19162;	⿰火昌
M-19163 	&I-M-19163;	
M-19164 	&M-19164;	⿱物火
M-19165 	&M-19165;	⿳台大火
M-19165'	煮	⿱者灬
M-19166 	&MJ031009;	
M-19166'	焼	⿰火⿳十⺿兀
M-19167 	&I-M-19167;	⿰火&MJ034920;
M-19168 	&I-M-19168;	
M-19169 	&I-M-19169;	⿰火革
M-19170 	&I-M-19170;	⿰火奎
M-19171 	&I-M-19171;	⿰火重
M-19172 	&I-M-19172;	⿰火段
M-19173 	&I-M-19173;	⿰火叚
M-19174 	&I-M-19174;	⿰火軍
M-19175 	&I-M-19175;	⿰火風
M-19176 	&M-19176;	⿰火曷
M-19177 	&M-19177;	⿱⿰禾午火
M-19178 	&I-M-19178;	⿰火柬
M-19179 	&I-M-19179;	
M-19180 	&I-M-19180;	⿰火星
M-19181 	&I-M-19181;	⿰火皇
M-19182 	&I-M-19182;	⿰火秋
M-19183 	&M-19183;	
M-19184 	&I-M-19184;	
M-19185 	&M-19185;	⿰火畐
M-19186 	&C2-4463;	
M-19187 	&I-M-19187;	⿱者火
M-19188 	&I-M-19188;	
M-19189 	煒	⿰火韋
M-19190 	&I-M-19190;	⿰火耑
M-19191 	&I-M-19191;	⿰炎占
M-19192 	&I-M-19192;	
M-19193 	&M-19193;	
M-19194 	&I-M-19194;	⿰火剌
M-19195 	&I-M-19195;	⿰火背
M-19196 	&I-M-19196;	
M-19197 	&I-M-19197;	⿰火耎
M-19198 	&I-M-19198;	⿰火咸
M-19199 	&M-19199;	⿱咸火
M-19200 	&M-19200;	⿱炬木
M-19201 	&M-19201;	⿰火&CDP-8DB4;
M-19202 	𤊹	⿰火勃
M-19203 	&I-M-19203;	
M-19204 	&M-19204;	
M-19205 	&I-M-19205;	⿱⿱日巨火
M-19206 	&M-19206;	⿰火禺
M-19207 	&I-M-19207;	
M-19208 	&M-19208;	⿰火&MJ011233;
M-19209 	&I-M-19209;	⿰火眉
M-19210 	&I-M-19210;	
M-19211 	&M-19211;	⿰火冒
M-19212 	&I-M-19212;	⿰火胃
M-19213 	&I-M-19213;	⿰火枼
M-19214 	&M-19214;	⿰炎甘
M-19215 	&M-19215;	⿰火⿱匆心
M-19216 	&M-19216;	⿰火建
M-19217 	&M-19217;	
M-19218 	𤊽	⿱𡗜炅
M-19219 	&I-M-19219;	⿰火柔
M-19220 	&I-M-19220;	⿰火某
M-19221 	&HD-KS-216430;	
M-19222 	&M-19222;	
M-19223 	&M-19223;	
M-19224 	&I-M-19224;	
M-19225 	&I-M-19225;	⿱昫灬
M-19226 	&I-M-19226;	⿱昭灬
M-19227 	&I-M-19227;	⿰炅召
M-19228 	&I-M-19228;	⿰火畏
M-19229 	&I-M-19229;	⿰火頁
M-19230 	&M-19230;	
M-19231 	&MJ016516;	
M-19232 	&M-19232;	
M-19233 	&I-M-19233;	⿰火狊
M-19234 	&M-19234;	
M-19235 	&I-M-19235;	⿰火昜
M-19236 	&I-M-19236;	⿱昜灬
M-19237 	&I-M-19237;	⿳卝⺫火
M-19238 	&I-M-19238;	⿱⿰矛攵火
M-19239 	&I-M-19239;	⿱⿲丿&CDP-885A;巳火
M-19240 	&I-M-19240;	⿱⿰⿱巛歹刂灬
M-19241 	&M-19241;	⿸戊炎
M-19242 	&I-M-19242;	⿱⿰目氏灬
M-19243 	&M-19243;	
M-19244 	&M-19244;	⿰火皆
M-19245 	𤉣	
M-19246 	&M-19246;	⿰火枲
M-19247 	&M-19247;	⿰火品
M-19248 	&M-19248;	
M-19249 	&I-M-19249;	⿰火&CDP-8CA9;
M-19250 	&M-19250;	
M-19251 	&M-19251;	⿰火&AJ1-04376;
M-19252 	&M-19252;	
M-19253 	&I-M-19253;	⿳𡗜日灬
M-19254 	&I-M-19254;	
M-19255 	&M-19255;	
M-19256 	&I-M-19256;	
M-19257 	&I-M-19257;	⿰火⿱日出
M-19258 	&M-19258;	
M-19259 	&I-M-19259;	⿳火屾夂
M-19260 	&I-M-19260;	⿱保火
M-19261 	&I-M-19261;	⿰火胡
M-19262 	&I-M-19262;	⿰火昷
M-19263 	&I-M-19263;	⿱重灬
M-19264 	&I-M-19264;	
M-19265 	&M-19265;	
M-19266 	&M-19266;	
M-19267 	&M-19267;	⿱炎舛
M-19268 	&I-M-19268;	⿱⿰亻⿱夂田灬
M-19269 	&M-19269;	⿰火&MJ008325;
M-19270 	煼	⿰火芻
M-19271 	&I-M-19271;	⿱芻灬
M-19272 	&I-M-19272;	
M-19273 	&M-19273;	⿱⿰目巨火
M-19274 	&M-19274;	⿰火恩
M-19275 	&M-19275;	⿱差火
M-19276 	&M-19276;	
M-19277 	&I-M-19277;	⿰火尃
M-19278 	&M-19278;	
M-19279 	&M-19279;	
M-19280 	&I-M-19280;	⿰火晃
M-19281 	&I-M-19281;	⿰火脅
M-19282 	&M-19282;	⿰炎丞
M-19283 	&I-M-19283;	⿰火氣
M-19284 	&M-19284;	⿰火鬼
M-19285 	&M-19285;	⿱務火
M-19286 	&M-19286;	⿱𤇾井
M-19287 	&I-M-19287;	⿰火息
M-19288 	&I-M-19288;	⿰火𥁕
M-19289 	&M-19289;	
M-19290 	&I-M-19290;	⿰火盍
M-19291 	&I-M-19291;	
M-19292 	&I-M-19292;	⿱⿲丿臣巳灬
M-19293 	&I-M-19293;	⿰火員
M-19294 	&I-M-19294;	⿱能灬
M-19295 	&I-M-19295;	⿱能火
M-19296 	&M-19296;	⿵𨳌火
M-19297 	&M-19297;	⿰火閃
M-19298 	&I-M-19298;	⿰火宮
M-19299 	&M-19299;	⿰火⿱爫缶
M-19300 	&I-M-19300;	
M-19301 	&M-19301;	
M-19302 	熐	⿰火&g2-AJ1-03785;
M-19303 	&M-19303;	
M-19304 	&I-M-19304;	
M-19305 	&I-M-19305;	⿰火圅
M-19306 	&I-M-19306;	⿰火烏
M-19307 	&I-M-19307;	⿱耿灬
M-19308 	&I-M-19308;	⿰火⿱亘木
M-19309 	&I-M-19309;	⿱⿰肉犬灬
M-19310 	&I-M-19310;	⿰火⿱右右
M-19311 	&I-M-19311;	⿰火⿱田母
M-19312 	&I-M-19312;	
M-19313 	&I-M-19313;	
M-19314 	&M-19314;	
M-19315 	&I-M-19315;	
M-19316 	&M-19316;	⿱火草
M-19317 	&I-M-19317;	
M-19318 	&M-19318;	⿳火中吕
M-19319 	&I-M-19319;	⿰火容
M-19320 	&M-19320;	
M-19321 	&I-M-19321;	⿰火貢
M-19322 	&M-19322;	⿳⿻&CDP-8B56;幺一火
M-19323 	&M-19323;	
M-19324 	&M-19324;	
M-19325 	&AJ1-18034;	⿰火&AJ1-03502;
M-19326 	&M-19326;	⿰火&CDP-8BDD;
M-19327 	&M-19327;	⿰火鹿
M-19328 	&I-M-19328;	⿰火堅
M-19329 	&M-19329;	
M-19330 	&I-M-19330;	⿰火&C1-5C7B;
M-19331 	&I-M-19331;	
M-19332 	&I-M-19332;	⿱孰灬
M-19333 	&I-M-19333;	
M-19334 	&I-M-19334;	⿱野火
M-19335 	&I-M-19335;	⿰火婁
M-19336 	&M-19336;	
M-19337 	&I-M-19337;	
M-19338 	&I-M-19338;	⿱𤇾冋
M-19339 	&I-M-19339;	⿱⿰木酉火
M-19340 	&I-M-19340;	⿰火曹
M-19341 	熣	
M-19342 	&M-19342;	
M-19343 	&M-19343;	
M-19344 	&M-19344;	
M-19345 	&I-M-19345;	⿱從火
M-19346 	熨	⿱尉火
M-19347 	&C2-5170;	⿰火&AJ1-07874;
M-19348 	&M-19348;	⿰火斬
M-19349 	&I-M-19349;	⿰火移
M-19350 	&M-19350;	⿰火庶
M-19351 	&M-19351;	⿰⿱火土奉
M-19352 	&I-M-19352;	
M-19353 	&M-19353;	⿱彗火
M-19354 	&I-M-19354;	⿰火&AJ1-18400;
M-19355 	&I-M-19355;	⿰火&CDP-8BD3;
M-19356 	&I-M-19356;	⿰火區
M-19357 	&I-M-19357;	⿰火⿰孛攵
M-19358 	&I-M-19358;	⿰火&JX2-726E;
M-19359 	&M-19359;	
M-19360 	&I-M-19360;	
M-19361 	&I-M-19361;	⿰⿱匕火頁
M-19362 	&I-M-19362;	⿰火罣
M-19363 	&I-M-19363;	⿰炙⿱干火
M-19364 	&I-M-19364;	⿳火⺫艸
M-19365 	&I-M-19365;	⿱⿲火𢆉火又
M-19366 	&I-M-19366;	⿰火參
M-19367 	&I-M-19367;	⿰火⿱癶米
M-19368 	&M-19368;	
M-19369 	&I-M-19369;	⿳刀昜灬
M-19370 	&I-M-19370;	
M-19371 	&M-19371;	⿱⿰𩠐刂火
M-19371'	&HD-JB-4A2F;	
M-19372 	&M-19372;	
M-19373 	&M-19373;	
M-19374 	&M-19374;	
M-19375 	&M-19375;	
M-19376 	&I-M-19376;	⿰火最
M-19377 	&M-19377;	
M-19378 	&I-M-19378;	⿰火⿳巛𠔿⿵⺇&CDP-8BF1;
M-19379 	&M-19379;	
M-19380 	&I-M-19380;	⿱喜灬
M-19381 	&I-M-19381;	⿰火喜
M-19382 	&I-M-19382;	⿰火翕
M-19383 	&M-19383;	⿰火異
M-19384 	&I-M-19384;	⿰火肅
M-19385 	&I-M-19385;	⿰火&AJ1-21605;
M-19386 	&M-19386;	
M-19387 	&I-M-19387;	⿰火黄
M-19388 	&I-M-19388;	⿰火單
M-19389 	&M-19389;	⿸厤火
M-19390 	&HD-JT-B545;	
M-19391 	&M-19391;	
M-19392 	&M-19392;	
M-19393 	&I-M-19393;	⿰火⿱止⿰止止
M-19394 	&I-M-19394;	⿰火然
M-19395 	&I-M-19395;	
M-19396 	&M-19396;	⿰炎&AJ1-18448;
M-19397 	&I-M-19397;	⿰炙&AJ1-18448;
M-19398 	&M-19398;	⿰坴炎
M-19399 	&M-19399;	
M-19400 	&I-M-19400;	⿰火喬
M-19401 	&M-19401;	
M-19402 	&I-M-19402;	⿰火登
M-19403 	&I-M-19403;	⿰火&AJ1-03248;
M-19404 	㷵	⿰火黑
M-19405 	&M-19405;	⿰火菴
M-19406 	&I-M-19406;	⿱備灬
M-19407 	&M-19407;	⿱備火
M-19408 	&I-M-19408;	⿱焱木
M-19409 	&M-19409;	
M-19410 	&I-M-19410;	
M-19411 	&I-M-19411;	⿰火賁
M-19412 	&M-19412;	⿰帛炎
M-19413 	&M-19413;	⿰火斯
M-19414 	&I-M-19414;	⿰火尞
M-19415 	&M-19415;	
M-19416 	&M-19416;	⿱⿰肴攵灬
M-19417 	燐	⿰火粦
M-19418 	燑	⿰火童
M-19419 	&M-19419;	⿱⿹𢏚口火
M-19420 	&I-M-19420;	⿰火堯
M-19421 	&I-M-19421;	⿱棥火
M-19422 	&M-19422;	
M-19423 	&M-19423;	
M-19424 	&M-19424;	
M-19425 	&M-19425;	⿰火巽
M-19426 	&I-M-19426;	⿰火番
M-19427 	&M-19427;	⿱堛火
M-19428 	&M-19428;	⿳炎龷火
M-19429 	&I-M-19429;	⿳廿&CDP-8D76;灬
M-19430 	&I-M-19430;	⿰火&AJ1-13859;
M-19431 	燗	⿰火閒
M-19432 	&M-19432;	⿰火閔
M-19433 	&M-19433;	⿱⿲火屰火又
M-19434 	&M-19434;	
M-19435 	&I-M-19435;	⿱湯火
M-19436 	&I-M-19436;	⿱⿰坴丮火
M-19437 	&I-M-19437;	⿰火⿱日&CDP-8BF8;
M-19438 	&M-19438;	
M-19439 	&M-19439;	
M-19440 	&I-M-19440;	⿱⿰火火⿰火火
M-19441 	&C4-5124;	⿰火⿱⺿卓
M-19442 	&I-M-19442;	⿱臦火
M-19443 	&I-M-19443;	⿰火量
M-19444 	&I-M-19444;	
M-19445 	&M-19445;	
M-19446 	&I-M-19446;	⿳止⿰舟刂火
M-19447 	&I-M-19447;	
M-19448 	&I-M-19448;	
M-19449 	&I-M-19449;	⿱⿰&CDP-85C3;&CDP-85C3;⿰火火
M-19450 	&M-19450;	
M-19451 	&I-M-19451;	⿰火無
M-19452 	&I-M-19452;	
M-19453 	&I-M-19453;	⿰火⿱而而
M-19454 	&I-M-19454;	
M-19455 	燜	
M-19456 	&I-M-19456;	⿰火惑
M-19457 	&I-M-19457;	
M-19458 	&I-M-19458;	
M-19459 	&M-19459;	⿰火睪
M-19460 	&M-19460;	⿰火⿱⺫㚔
M-19461 	&M-19461;	
M-19462 	&I-M-19462;	⿱𦥯火
M-19463 	&M-19463;	⿰火稟
M-19464 	&I-M-19464;	⿱冖⿳林大火
M-19465 	&M-19465;	
M-19466 	&C2-5D4C;	⿰火萬
M-19467 	&I-M-19467;	⿰火喿
M-19468 	&I-M-19468;	⿰火粲
M-19469 	&I-M-19469;	
M-19470 	&M-19470;	
M-19471 	&I-M-19471;	⿰火豦
M-19472 	&M-19472;	⿰火義
M-19473 	&MJ040092;	⿱⿰亻⿱卝⿹勹用灬
M-19474 	&M-19474;	⿰火敫
M-19475 	&I-M-19475;	⿰火僉
M-19476 	&I-M-19476;	⿰火⿳⺿匆心
M-19477 	&I-M-19477;	⿰火廉
M-19478 	&I-M-19478;	⿰火毁
M-19479 	&M-19479;	
M-19480 	&I-M-19480;	⿰火蜀
M-19481 	&I-M-19481;	⿱⿲火言火又
M-19482 	&M-19482;	
M-19483 	&M-19483;	
M-19484 	&M-19484;	
M-19485 	&M-19485;	
M-19486 	&M-19486;	
M-19487 	&M-19487;	⿰火⿱刑酉
M-19488 	&M-19488;	⿳臤目火
M-19489 	&M-19489;	⿰火愛
M-19490 	&M-19490;	⿰火畺
M-19491 	&M-19491;	⿰炎苦
M-19492 	&M-19492;	
M-19493 	&M-19493;	⿰火意
M-19494 	&I-M-19494;	⿰火⿱劦貝
M-19495 	&M-19495;	⿰火⿱有冏
M-19496 	&M-19496;	⿰火⿱高土
M-19497 	𤐥	
M-19498 	&M-19498;	⿰火照
M-19499 	&M-19499;	⿰火盞
M-19500 	&I-M-19500;	⿰火業
M-19501 	&I-M-19501;	
M-19502 	&I-M-19502;	⿰炎軍
M-19503 	&I-M-19503;	⿰火會
M-19504 	&I-M-19504;	⿰火達
M-19505 	&M-19505;	⿱戩火
M-19506 	&M-19506;	⿱稫火
M-19507 	&I-M-19507;	⿰火需
M-19508 	&I-M-19508;	⿱豩火
M-19509 	&M-19509;	⿰火爾
M-19510 	&M-19510;	⿰火&C1-6A64;
M-19511 	&C3-582D;	⿰火⿱高木
M-19512 	&M-19512;	⿰火⿱炎舛
M-19513 	&I-M-19513;	⿰火熏
M-19514 	&I-M-19514;	⿳⿻&CDP-8B56;囟一火
M-19515 	&I-M-19515;	⿰火盡
M-19516 	&I-M-19516;	⿰炙&CDP-85D7;
M-19517 	&M-19517;	⿰火壽
M-19518 	&M-19518;	⿰火⿱&CDP-8A4E;吋
M-19519 	&I-M-19519;	⿱壽灬
M-19520 	&I-M-19520;	
M-19521 	&I-M-19521;	⿰火赫
M-19522 	&I-M-19522;	
M-19523 	&M-19523;	⿰火&AJ1-01538;
M-19524 	&M-19524;	⿰火⿳&CDP-8AFC;⿰口口𠕁
M-19525 	&M-19525;	
M-19526 	&I-M-19526;	⿱⿰耎瓦火
M-19527 	&I-M-19527;	⿰火⿳日共手
M-19528 	&I-M-19528;	⿰火&AJ1-07457;
M-19529 	&I-M-19529;	
M-19530 	&M-19530;	
M-19531 	&I-M-19531;	⿰火榮
M-19532 	&I-M-19532;	
M-19533 	&M-19533;	
M-19534 	&I-M-19534;	
M-19535 	&I-M-19535;	⿰⿸厂炎⿱&CDP-8B5E;戈
M-19536 	&MJ016688;	⿰火&MJ007965;
M-19537 	&M-19537;	⿱蔧火
M-19538 	&M-19538;	
M-19539 	&I-M-19539;	⿰火墨
M-19540 	&I-M-19540;	⿰火暴
M-19541 	&HD-KS-220130;	
M-19542 	&MJ040131;	⿱蓻火
M-19543 	&I-M-19543;	⿰火慮
M-19544 	&I-M-19544;	⿰火&CDP-8D47;
M-19545 	&AJ1-18043;	
M-19546 	&M-19546;	⿰火麃
M-19547 	&I-M-19547;	
M-19548 	&M-19548;	⿰火廣
M-19549 	&I-M-19549;	⿰火樂
M-19550 	&M-19550;	
M-19551 	&I-M-19551;	⿰炙巢
M-19552 	&M-19552;	
M-19553 	&I-M-19553;	
M-19554 	&I-M-19554;	
M-19555 	&I-M-19555;	
M-19556 	&M-19556;	
M-19557 	&I-M-19557;	
M-19558 	&I-M-19558;	
M-19559 	&I-M-19559;	
M-19560 	&I-M-19560;	
M-19561 	&M-19561;	
M-19561'	爕	
M-19562 	&M-19562;	
M-19563 	&M-19563;	
M-19564 	&M-19564;	
M-19565 	&I-M-19565;	⿰火歷
M-19566 	&I-M-19566;	⿰火盧
M-19567 	&I-M-19567;	⿱⿲弓芻弓火
M-19568 	&I-M-19568;	
M-19569 	&M-19569;	
M-19570 	&I-M-19570;	⿰火閹
M-19571 	&I-M-19571;	⿰火⿱&CDP-8CC9;見
M-19572 	&M-19572;	⿰災睪
M-19573 	&M-19573;	⿰炙尞
M-19574 	&JSP-4A42;	⿰火閻
M-19575 	&M-19575;	
M-19576 	&I-M-19576;	⿰火羲
M-19577 	&I-M-19577;	
M-19578 	&I-M-19578;	
M-19579 	&I-M-19579;	⿰火鼏
M-19580 	&I-M-19580;	⿰火&AJ1-08627;
M-19581 	&C3-5C57;	
M-19582 	&I-M-19582;	
M-19583 	&I-M-19583;	⿰炙番
M-19584 	&I-M-19584;	⿰火&AJ1-03966;
M-19585 	&I-M-19585;	⿳⿰口口⿰&GT-39640;&GT-39640;⿰火火
M-19586 	&M-19586;	
M-19587 	&I-M-19587;	⿲火耳&CDP-8CE2;
M-19588 	&M-19588;	
M-19589 	&I-M-19589;	⿰火⿳日出⿵大&AJ1-13852;
M-19590 	&M-19590;	
M-19591 	&I-M-19591;	⿱𢨋火
M-19592 	&I-M-19592;	⿳或或灬
M-19593 	&I-M-19593;	
M-19594 	&M-19594;	
M-19595 	&I-M-19595;	
M-19596 	&M-19596;	
M-19596'	爋	⿰火勳
M-19597 	&I-M-19597;	⿰火廩
M-19598 	&M-19598;	⿱歛火
M-19599 	&I-M-19599;	⿰火戲
M-19600 	&M-19600;	
M-19601 	&M-19601;	⿰火襄
M-19602 	&M-19602;	
M-19603 	&I-M-19603;	⿰火龠
M-19604 	&AJ1-05598;	
M-19605 	&I-M-19605;	
M-19606 	&I-M-19606;	⿰火斂
M-19607 	&I-M-19607;	⿰炙⿱𡗜炅
M-19608 	&M-19608;	
M-19609 	&M-19609;	
M-19610 	&I-M-19610;	⿰火叢
M-19611 	&I-M-19611;	⿰火聶
M-19612 	&I-M-19612;	⿰火⿳日出⿵大米
M-19613 	&M-19613;	
M-19614 	&I-M-19614;	
M-19615 	&I-M-19615;	⿰火蟲
M-19616 	&I-M-19616;	
M-19617 	&I-M-19617;	
M-19618 	&M-19618;	
M-19619 	&I-M-19619;	⿰火⿳⿻&CDP-8B56;囟一火
M-19620 	&M-19620;	
M-19621 	&M-19621;	⿰火蠆
M-19622 	&M-19622;	
M-19623 	&M-19623;	
M-19624 	&M-19624;	
M-19625 	&MJ002335;	⿸&AJ1-07430;火
M-19626 	&C2-6F35;	⿸靡灬
M-19627 	&M-19627;	
M-19628 	&I-M-19628;	⿰火⿱燚大
M-19629 	&I-M-19629;	
M-19630 	&I-M-19630;	⿺是⿱耿灬
M-19631 	&M-19631;	⿰火黨
M-19632 	&I-M-19632;	⿰火⿱⿰東東日
M-19633 	&I-M-19633;	
M-19634 	&I-M-19634;	⿱⿰黍畐灬
M-19635 	&M-19635;	
M-19636 	爥	
M-19637 	&C7-607C;	
M-19638 	&MJ040193;	
M-19639 	&M-19639;	
M-19640 	&M-19640;	
M-19641 	&M-19641;	
M-19642 	&I-M-19642;	
M-19643 	&M-19643;	⿰火⿱&C1-5C7B;黑
M-19644 	&I-M-19644;	⿰火靈
M-19645 	&M-19645;	
M-19646 	&M-19646;	
M-19647 	&M-19647;	
M-19648 	&I-M-19648;	
M-19649 	&M-19649;	
M-19650 	&M-19650;	
M-19651 	&M-19651;	
M-19652 	&M-19652;	
M-19653 	&I-M-19653;	
M-19654 	&M-19654;	
M-19655 	&I-M-19655;	
M-19656 	𤓱	
M-19657 	&C6-284D;	
M-19658 	&M-19658;	
M-19659 	𤓵	
M-19660 	&M-19660;	
M-19661 	&M-19661;	
M-19662 	&I-M-19662;	⿺爪巴
M-19663 	&I-M-19663;	
M-19664 	&MJ002339;	
M-19665 	&M-19665;	
M-19666 	&M-19666;	
M-19667 	&M-19667;	⿱&GT-25225;⿱&CDP-8BA2;朩
M-19668 	&M-19668;	
M-19669 	&M-19669;	
M-19670 	&I-M-19670;	
M-19671 	&I-M-19671;	
M-19672 	&I-M-19672;	
M-19673 	&M-19673;	
M-19674 	&M-19674;	
M-19675 	&M-19675;	
M-19676 	&M-19676;	
M-19677 	𤔈	
M-19678 	𤔉	
M-19679 	&M-19679;	
M-19680 	&M-19680;	
M-19681 	&M-19681;	
M-19682 	&M-19682;	
M-19683 	𤔑	
M-19684 	&M-19684;	
M-19685 	&I-M-19685;	
M-19686 	&I-M-19686;	
M-19687 	&I-M-19687;	
